City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hobart,AU,-42.8794,147.3294,55.26,64,90,5.01,overcast clouds
Sitka,US,57.0531,-135.33,49.89,87,90,4.61,overcast clouds
Atuona,PF,-9.8,-139.0333,79.41,76,25,15.26,scattered clouds
Kaitangata,NZ,-46.2817,169.8464,47.93,65,85,7.87,overcast clouds
Esperance,AU,-33.8667,121.9,53.44,73,92,9.75,overcast clouds
Yellowknife,CA,62.456,-114.3525,52.32,63,100,1.01,overcast clouds
Faanui,PF,-16.4833,-151.75,79.02,75,86,15.97,overcast clouds
Sorland,NO,67.667,12.6934,64.47,76,0,9.22,clear sky
Ipatovo,RU,45.7181,42.9036,82.83,49,55,9.89,broken clouds
Mildura,AU,-34.2,142.15,50.07,71,3,4.61,clear sky
Vaini,TO,-21.2,-175.2,69.96,100,90,4.61,moderate rain
La Grande,US,45.3246,-118.0877,70.93,56,58,0.72,broken clouds
Coos Bay,US,43.3665,-124.2179,61.02,90,90,0.0,mist
Ostrovnoy,RU,68.0531,39.5131,43.25,62,96,10.47,overcast clouds
Kumluca,TR,36.3703,30.2869,73.56,70,12,13.24,few clouds
Pemangkat,ID,1.1667,108.9667,82.6,75,41,2.08,scattered clouds
Dunedin,NZ,-45.8742,170.5036,48.79,67,88,3.0,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,63.1,77,0,18.41,clear sky
Bredasdorp,ZA,-34.5322,20.0403,65.52,59,53,7.31,broken clouds
Mayo,US,38.8876,-76.5119,73.58,71,1,1.99,clear sky
Bargarh,IN,21.3333,83.6167,94.91,31,36,2.98,scattered clouds
Jamestown,US,42.097,-79.2353,66.18,60,20,3.0,few clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,20,10.36,few clouds
Malakal,SS,9.5334,31.6605,103.24,20,98,4.21,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,74.44,75,99,9.19,overcast clouds
Bluff,NZ,-46.6,168.3333,49.8,80,100,20.51,overcast clouds
Versalles,FR,48.8,2.1333,82.15,38,0,9.22,clear sky
Vangaindrano,MG,-23.35,47.6,69.26,91,100,7.94,light rain
Norman Wells,CA,65.282,-126.8329,50.0,82,100,3.09,overcast clouds
Busselton,AU,-33.65,115.3333,56.05,75,87,5.59,overcast clouds
Avarua,CK,-21.2078,-159.775,66.25,94,40,1.14,scattered clouds
Terra Santa,BR,-2.1042,-56.4869,86.9,65,33,2.82,scattered clouds
Fukue,JP,32.6881,128.8419,70.07,77,89,2.77,overcast clouds
Sars,RU,56.5502,57.1366,58.8,69,90,4.14,overcast clouds
Palana,RU,59.1167,159.9667,38.5,67,100,2.95,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,37.56,67,48,2.21,scattered clouds
Butaritari,KI,3.0707,172.7902,82.29,83,54,17.52,light rain
Saint-Philippe,RE,-21.3585,55.7679,76.59,79,18,10.29,few clouds
Lebu,CL,-37.6167,-73.65,57.27,99,100,7.07,moderate rain
Pevek,RU,69.7008,170.3133,33.98,70,10,2.06,clear sky
Zeya,RU,53.75,127.2667,55.89,66,100,6.2,overcast clouds
Neiafu,TO,-18.65,-173.9833,70.48,94,90,5.75,light rain
Touros,BR,-5.1989,-35.4608,85.1,56,2,14.54,clear sky
Ponta Do Sol,PT,32.6667,-17.1,71.13,58,60,2.75,broken clouds
Maumere,ID,-8.6199,122.2111,78.49,81,66,3.51,broken clouds
Pochutla,MX,15.7432,-96.4661,84.81,61,100,0.13,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,62.1,57,0,8.99,clear sky
Ganzhou,CN,28.8184,115.4327,76.41,91,76,2.62,light rain
Fortuna,US,40.5982,-124.1573,52.66,88,48,3.24,scattered clouds
Codrington,AU,-38.2667,141.9667,54.81,52,100,1.74,overcast clouds
Kysyl-Syr,RU,63.8986,122.7617,52.72,55,21,3.67,few clouds
Kurduvadi,IN,18.0833,75.4333,92.03,42,91,11.21,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,81.41,58,93,7.09,overcast clouds
Katsuura,JP,35.1333,140.3,69.12,82,11,7.87,few clouds
Lompoc,US,34.6391,-120.4579,58.37,100,90,3.85,fog
Goundam,ML,16.4145,-3.6708,109.31,9,97,5.35,overcast clouds
Sao Tome,ST,0.3365,6.7273,82.15,73,84,11.1,light rain
At-Bashi,KG,41.1702,75.8106,62.04,53,98,3.91,overcast clouds
Charters Towers,AU,-20.1,146.2667,61.63,91,81,11.3,broken clouds
Chinsali,ZM,-10.5414,32.0816,78.75,37,78,7.52,broken clouds
Caledonia,US,42.8078,-87.9242,68.18,67,1,1.99,clear sky
Kathu,TH,7.9178,98.3332,89.62,72,76,7.9,broken clouds
Makakilo City,US,21.3469,-158.0858,75.29,81,1,3.44,clear sky
Bambous Virieux,MU,-20.3428,57.7575,70.05,94,75,11.25,moderate rain
East London,ZA,-33.0153,27.9116,63.54,72,20,16.11,moderate rain
Cherskiy,RU,68.75,161.3,54.63,43,10,3.78,clear sky
Kirkuk,IQ,35.4681,44.3922,101.25,8,0,14.54,clear sky
Vostok,RU,46.4856,135.8833,50.32,91,100,3.87,overcast clouds
Chokurdakh,RU,70.6333,147.9167,55.26,48,8,9.69,clear sky
Lewisporte,CA,49.2499,-55.0482,67.71,92,100,13.13,overcast clouds
Santos Dumont,BR,-21.4567,-43.5525,71.6,74,98,2.55,overcast clouds
Petukhovo,RU,55.0692,67.9019,61.29,51,73,7.47,broken clouds
Pimentel,PE,-6.8367,-79.9342,66.99,85,90,3.0,overcast clouds
Sinnamary,GF,5.3833,-52.95,75.9,93,100,2.39,light rain
Yarovoye,RU,52.9273,78.58,80.78,28,95,9.71,overcast clouds
Luderitz,NA,-26.6481,15.1594,72.97,33,0,16.58,clear sky
Port Hedland,AU,-20.3167,118.5667,68.05,49,95,9.22,overcast clouds
Manta,EC,-0.95,-80.7333,76.78,78,75,10.36,broken clouds
Mandalgovi,MN,45.7625,106.2708,41.14,38,2,8.37,clear sky
Chumikan,RU,54.7183,135.315,39.51,91,30,3.06,scattered clouds
Clinton,US,42.587,-82.9199,71.62,50,20,1.01,few clouds
Winchester,GB,51.0651,-1.3187,77.95,32,0,14.29,clear sky
Hithadhoo,MV,-0.6,73.0833,84.29,67,100,16.55,overcast clouds
Yagodnoye,RU,62.55,149.6667,38.84,74,60,3.31,broken clouds
Gandajika,CD,-6.75,23.95,90.75,23,96,2.39,overcast clouds
Nome,US,64.5011,-165.4064,44.67,50,1,10.36,clear sky
Pangnirtung,CA,66.1451,-65.7125,39.2,60,90,14.97,overcast clouds
Najran,SA,17.4924,44.1277,97.45,9,2,20.58,clear sky
Ampanihy,MG,-24.7,44.75,71.06,63,100,11.34,overcast clouds
Mahebourg,MU,-20.4081,57.7,70.09,94,75,6.91,moderate rain
Laguna,US,38.421,-121.4238,78.01,59,1,4.0,clear sky
Mongagua,BR,-24.0931,-46.6208,76.03,71,12,2.53,few clouds
Qaanaaq,GL,77.484,-69.3632,31.46,88,100,5.86,overcast clouds
Kericho,KE,-0.3677,35.2831,66.24,68,98,1.59,overcast clouds
Saint George,US,37.1041,-113.5841,83.35,17,1,1.01,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,9.22,overcast clouds
Moose Factory,CA,51.2585,-80.6094,62.6,77,1,5.75,clear sky
Ilulissat,GL,69.2167,-51.1,35.62,75,20,8.05,few clouds
Mazagao,BR,-0.115,-51.2894,86.05,82,8,3.33,clear sky
Muros,ES,42.7762,-9.0603,65.98,76,100,9.75,overcast clouds
Gogrial,SS,8.5332,28.1004,102.42,22,93,6.58,overcast clouds
Georgetown,MY,5.4112,100.3354,84.88,86,20,1.01,few clouds
Hermanus,ZA,-34.4187,19.2345,65.89,69,16,4.72,few clouds
Fuxin,CN,42.0156,121.6589,69.1,33,100,5.55,overcast clouds
Yar-Sale,RU,66.8333,70.8333,46.51,79,100,16.73,light rain
Kavieng,PG,-2.5744,150.7967,78.3,90,100,9.35,moderate rain
Provideniya,RU,64.3833,-173.3,33.17,69,1,11.59,clear sky
Beziers,FR,43.3476,3.219,72.07,78,90,14.09,overcast clouds
Nieuw Amsterdam,SR,5.8833,-55.0833,82.02,90,40,8.79,scattered clouds
Nsanje,MW,-16.92,35.262,85.37,43,80,5.99,broken clouds
Geraldton,AU,-28.7667,114.6,54.01,94,0,8.39,clear sky
Anamur,TR,36.0751,32.8369,75.22,56,0,18.84,clear sky
Tobias Barreto,BR,-11.1839,-37.9983,81.75,66,39,6.17,scattered clouds
Zhangye,CN,38.9342,100.4517,70.54,12,87,8.68,overcast clouds
Oranjemund,NA,-28.55,16.4333,65.79,46,0,12.66,clear sky
Castro,BR,-24.7911,-50.0119,63.14,72,4,2.26,clear sky
Aranos,NA,-24.1333,19.1167,62.44,21,0,10.8,clear sky
Naze,JP,28.3667,129.4833,71.28,77,44,18.5,scattered clouds
Jalu,LY,29.0331,21.5482,93.99,17,0,14.0,clear sky
Djibo,BF,14.1022,-1.6306,106.5,14,3,6.44,clear sky
Pisco,PE,-13.7,-76.2167,65.01,77,90,9.22,overcast clouds
Lata,PT,40.1629,-8.3327,65.35,58,88,6.85,overcast clouds
Bairiki,KI,1.3292,172.9752,82.65,81,95,18.05,light rain
Tura,IN,25.5198,90.2201,74.28,94,87,4.09,overcast clouds
Bengkulu,ID,-3.8004,102.2655,78.12,88,87,4.32,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,10.36,broken clouds
Killybegs,IE,54.6333,-8.45,55.11,84,100,10.18,overcast clouds
Clyde River,CA,70.4692,-68.5914,25.03,100,90,0.0,overcast clouds
Tual,ID,-5.6667,132.75,81.88,80,6,20.94,clear sky
Mehamn,NO,71.0357,27.8492,46.31,97,100,21.41,overcast clouds
Mumford,GH,5.2618,-0.759,82.08,73,100,9.04,overcast clouds
Koungou,YT,-12.7336,45.2042,80.31,74,0,6.76,clear sky
Port Alfred,ZA,-33.5906,26.891,63.14,76,100,21.34,light rain
Thompson,CA,55.7435,-97.8558,46.56,66,75,6.91,broken clouds
Poum,NC,-20.2333,164.0167,73.29,56,100,7.83,overcast clouds
Constitucion,CL,-35.3333,-72.4167,58.41,97,100,5.93,light rain
Yairipok,IN,24.6667,94.0667,73.58,80,88,2.53,overcast clouds
Dingle,PH,10.9995,122.6711,77.74,90,100,5.59,heavy intensity rain
Tezu,IN,27.9167,96.1667,74.21,95,94,1.9,overcast clouds
Victoria,HK,22.2855,114.1577,79.32,93,100,1.01,moderate rain
Eagle Pass,US,28.7091,-100.4995,70.65,85,83,9.08,broken clouds
Severnoye,RU,56.3491,78.3619,49.87,86,100,10.98,overcast clouds
San Patricio,US,28.017,-97.5169,71.69,86,97,12.21,light rain
Aloleng,PH,16.1307,119.7824,84.67,77,100,10.67,overcast clouds
Leonidovo,RU,49.2833,142.8667,40.89,81,3,2.68,clear sky
Monte Alegre,BR,-2.0078,-54.0692,85.1,65,10,3.8,clear sky
Aklavik,CA,68.2191,-135.0107,29.23,86,90,11.5,overcast clouds
Caravelas,BR,-17.7125,-39.2481,82.2,57,5,4.74,clear sky
Te Anau,NZ,-45.4167,167.7167,42.93,90,100,3.36,overcast clouds
Buritama,BR,-21.0661,-50.1472,79.43,45,51,7.14,broken clouds
Hofn,IS,64.2539,-15.2082,43.74,90,100,14.09,light rain
Atar,MR,20.5169,-13.0499,104.86,16,14,6.8,few clouds
Elmadag,TR,39.9208,33.2308,55.53,50,58,21.56,light rain
Smidovich,RU,48.6,133.8167,55.62,86,100,11.79,moderate rain
Eregli,TR,37.5133,34.0467,76.03,22,97,23.04,overcast clouds
Deloraine,AU,-41.5333,146.6667,49.24,97,100,2.1,overcast clouds
Huzhou,CN,30.8703,120.0933,73.98,92,99,15.01,overcast clouds
Port Hardy,CA,50.6996,-127.4199,55.58,94,75,0.0,broken clouds
Patan,NP,27.6667,85.3333,73.78,83,75,2.3,broken clouds
Namibe,AO,-15.1961,12.1522,78.76,60,100,8.55,overcast clouds
Carnarvon,AU,-24.8667,113.6333,53.67,87,67,9.22,broken clouds
Zaranj,AF,30.9667,61.8833,109.36,4,0,5.46,clear sky
Cayenne,GF,4.9333,-52.3333,84.24,79,75,4.81,broken clouds
Airai,TL,-8.9266,125.4092,60.31,95,89,2.19,overcast clouds
Avera,US,33.194,-82.5271,75.94,56,85,6.98,overcast clouds
Kodiak,US,57.79,-152.4072,45.91,81,90,5.75,overcast clouds
Panshi,CN,42.9422,126.0561,54.82,95,59,6.93,broken clouds
Camana,PE,-16.6228,-72.7111,66.6,82,80,7.7,broken clouds
North Bend,US,43.4065,-124.2243,56.98,90,90,0.0,mist
Chicama,PE,-7.8447,-79.1469,64.94,82,78,5.44,broken clouds
Hirara,JP,24.8,125.2833,80.15,88,100,15.93,overcast clouds
Avallon,FR,47.4833,3.9,77.5,59,28,9.98,scattered clouds
Samarai,PG,-10.6167,150.6667,78.49,78,100,14.56,overcast clouds
Carbonia,IT,39.1672,8.5222,76.15,39,100,9.57,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,54.1,52,23,7.7,few clouds
Novo Aripuana,BR,-5.1206,-60.3797,88.72,43,8,3.44,clear sky
Saskylakh,RU,71.9167,114.0833,36.39,81,100,1.25,overcast clouds
Nuevitas,CU,21.5453,-77.2644,81.84,78,96,13.27,overcast clouds
Ponca City,US,36.707,-97.0856,61.29,92,90,9.22,overcast clouds
Cap-Aux-Meules,CA,47.3821,-61.8597,48.25,100,90,19.57,overcast clouds
Seoul,KR,37.5683,126.9778,71.11,82,100,1.61,overcast clouds
Barreirinhas,BR,-2.7469,-42.8264,87.6,58,2,5.5,clear sky
Jasper,US,37.2001,-94.3502,62.01,89,90,5.01,overcast clouds
Maridi,SS,4.9158,29.4742,88.02,54,100,4.68,overcast clouds
Port Moresby,PG,-9.4431,147.1797,74.66,83,84,12.8,broken clouds
Inhambane,MZ,-23.865,35.3833,76.98,78,40,9.22,light rain
Mareeba,AU,-17.0,145.4333,65.12,94,96,1.83,overcast clouds
Grindavik,IS,63.8424,-22.4338,48.67,71,75,19.42,broken clouds
Alta,NO,69.9689,23.2717,61.84,48,0,9.22,clear sky
Praia,CV,14.9215,-23.5087,81.14,57,75,20.71,broken clouds
Taoudenni,ML,22.6783,-3.9836,114.4,6,71,5.3,broken clouds
Talnakh,RU,69.4865,88.3972,33.26,94,100,7.0,overcast clouds
Buala,SB,-8.145,159.5921,80.42,86,96,6.51,light rain
Eureka,US,40.8021,-124.1637,52.93,90,59,3.51,broken clouds
Pekan,MY,3.4836,103.3996,81.46,85,39,6.69,scattered clouds
Black River,JM,18.0264,-77.8487,85.98,61,3,1.43,clear sky
Erzin,TR,36.9559,36.2,81.32,54,0,11.1,clear sky
Alofi,NU,-19.0595,-169.9187,73.29,94,75,2.3,light rain
Otradnoye,RU,59.7775,30.8181,64.45,45,94,7.63,overcast clouds
Pacific Grove,US,36.6177,-121.9166,56.28,94,90,1.99,mist
Mezen,RU,65.8522,44.24,41.5,52,14,11.03,few clouds
Livingstonia,MW,-10.606,34.1063,68.34,69,36,7.02,scattered clouds
Jalpan,MX,21.2333,-99.4833,74.39,73,100,2.46,overcast clouds
Poya,NC,-21.35,165.15,66.0,74,47,6.17,scattered clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,80,20,3.83,few clouds
Nioki,CD,-2.7167,17.6833,95.99,23,100,2.57,overcast clouds
Ullapool,GB,57.8987,-5.1604,70.75,74,100,5.91,overcast clouds
Ust-Nera,RU,64.5667,143.2,48.0,64,100,5.37,overcast clouds
Marystown,CA,47.1666,-55.1483,57.85,100,100,8.01,overcast clouds
Marsabit,KE,2.3284,37.9899,76.62,38,94,17.69,overcast clouds
Uddevalla,SE,58.3478,11.9424,72.14,44,53,4.0,broken clouds
Anchorage,US,61.2181,-149.9003,54.05,84,90,0.0,light rain
Rizhao,CN,35.4275,119.4553,66.09,94,100,7.7,light rain
Hvolsvollur,IS,63.7533,-20.2243,51.82,67,97,15.32,overcast clouds
Faya,SA,18.3851,42.4509,86.52,9,1,20.92,clear sky
Broome,US,42.2506,-75.833,66.58,61,1,1.01,clear sky
Narsaq,GL,60.9167,-46.05,53.82,46,36,3.94,scattered clouds
Henties Bay,NA,-22.116,14.2845,61.86,65,2,7.45,clear sky
Salinopolis,BR,-0.6136,-47.3561,85.06,66,30,8.1,scattered clouds
Manjacaze,MZ,-24.7117,33.8828,72.48,70,96,8.16,light rain
Tiksi,RU,71.6872,128.8694,40.35,89,100,7.96,overcast clouds
Kizukuri,JP,40.8061,140.3861,55.94,77,100,4.0,overcast clouds
Micheweni,TZ,-4.9667,39.8333,80.31,70,97,10.83,overcast clouds
Sao Miguel Do Guama,BR,-1.6267,-47.4833,87.15,62,65,4.07,broken clouds
Quanzhou,CN,24.9139,118.5858,78.75,92,100,1.92,overcast clouds
Togur,RU,58.3631,82.8265,50.07,95,100,9.89,light rain
Tautira,PF,-17.7333,-149.15,73.42,64,66,13.38,broken clouds
Yatou,CN,37.15,122.3833,63.1,93,42,10.47,scattered clouds
Stromness,GB,58.965,-3.296,58.96,93,57,5.03,broken clouds
Whyalla,AU,-33.0333,137.5833,60.69,48,40,2.3,scattered clouds
Mayskiy,RU,47.6931,40.1025,69.21,86,100,7.16,overcast clouds
Point Pedro,LK,9.8167,80.2333,83.23,78,21,20.49,few clouds
Baculin,PH,7.4525,126.5842,78.76,81,100,5.26,overcast clouds
Obo,CF,5.3998,26.4869,91.94,43,44,4.41,scattered clouds
Gat,IL,31.61,34.7642,85.41,45,0,13.87,clear sky
Pauini,BR,-7.7136,-66.9764,84.88,62,36,3.6,scattered clouds
Lavrentiya,RU,65.5833,-171.0,28.98,79,7,11.56,clear sky
Palenque,MX,17.5167,-91.9667,78.96,83,40,0.0,scattered clouds
Amga,RU,60.8953,131.9608,49.35,80,100,1.23,overcast clouds
Ziro,IN,27.6333,93.8333,56.14,99,97,0.29,overcast clouds
Rocha,UY,-34.4833,-54.3333,62.56,59,100,14.38,overcast clouds
Omboue,GA,-1.5746,9.2618,80.47,72,100,8.03,overcast clouds
Ouallam,NE,14.3188,2.0866,108.72,11,4,3.58,clear sky
Scarborough,GB,54.2797,-0.4044,73.22,69,24,5.01,few clouds
Lorengau,PG,-2.0226,147.2712,78.73,85,100,3.62,overcast clouds
Pasewalk,DE,53.5063,13.99,71.11,51,100,13.96,overcast clouds
Port Said,EG,31.2565,32.2841,74.98,64,0,15.1,clear sky
Zarautz,ES,43.2844,-2.1699,80.74,56,100,5.41,overcast clouds
Prince Rupert,CA,54.3161,-130.3201,55.49,100,90,6.91,moderate rain
Moroni,KM,-11.7022,43.2551,79.93,73,15,6.06,light rain
Ancud,CL,-41.8697,-73.8203,48.22,82,17,6.24,few clouds
Coahuayana,MX,18.7333,-103.6833,85.48,69,74,1.81,broken clouds
Kidal,ML,18.4411,1.4078,108.19,4,47,4.59,scattered clouds
Katy,US,29.7858,-95.8244,78.66,88,20,1.01,few clouds
Huilong,CN,31.8111,121.655,74.03,86,100,20.49,light rain
Port Lincoln,AU,-34.7333,135.8667,61.0,68,100,5.41,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,79.39,80,75,18.75,broken clouds
Banes,CU,20.9625,-75.7186,83.01,67,26,14.45,scattered clouds
Kadoma,JP,34.7333,135.5833,71.6,72,89,1.21,overcast clouds
Rock Springs,US,41.5875,-109.2029,58.23,40,1,1.32,clear sky
Storforshei,NO,66.4043,14.5233,73.18,25,0,4.47,clear sky
Whitefish,US,48.4111,-114.3376,56.89,84,1,1.25,clear sky
Deputatskiy,RU,69.3,139.9,53.06,42,30,1.21,scattered clouds
Lasa,IT,46.6166,10.7002,76.08,51,34,1.03,scattered clouds
Leningradskiy,RU,69.3833,178.4167,26.13,93,55,11.88,broken clouds
Nishihara,JP,26.1842,127.7558,76.28,94,90,13.78,light intensity drizzle
Cidreira,BR,-30.1811,-50.2056,61.54,51,6,6.58,clear sky
Gamba,GA,-2.65,10.0,79.25,75,100,6.85,overcast clouds
Zaqatala,AZ,41.6336,46.6433,82.87,48,5,4.61,clear sky
Canberra,AU,-35.2835,149.1281,45.45,86,90,5.75,light rain
Ca Mau,VN,9.1769,105.15,82.15,80,73,4.18,light rain
Kirpilskaya,RU,45.377,39.6931,79.59,84,54,2.55,light rain
Koslan,RU,63.4564,48.8989,50.81,29,10,9.78,clear sky
Libertador General San Martin,AR,-23.8064,-64.7876,66.97,41,0,3.13,clear sky
Torbay,CA,47.6666,-52.7314,70.57,78,75,21.85,light rain
Udachnyy,RU,66.4167,112.4,60.98,61,100,6.2,overcast clouds
Dubti,ET,11.7361,41.0853,107.37,11,4,8.55,clear sky
Seidu,SL,9.0167,-10.6,85.06,57,100,1.7,overcast clouds
Chhatak,BD,25.0333,91.6667,78.51,92,94,4.7,overcast clouds
Buchanan,LR,5.8808,-10.0467,82.99,73,90,7.7,overcast clouds
Husavik,IS,66.0449,-17.3389,46.31,87,100,3.2,moderate rain
Yaan,NG,7.3833,8.5667,84.43,57,100,6.98,overcast clouds
Svetlogorsk,BY,52.6333,29.7333,56.07,65,88,8.93,overcast clouds
Sampit,ID,-2.5333,112.95,75.65,95,91,1.68,overcast clouds
Weligama,LK,5.9667,80.4167,80.44,82,90,12.12,overcast clouds
Bethel,US,41.3712,-73.414,68.65,74,1,0.0,clear sky
Sistranda,NO,63.7256,8.834,75.16,68,16,5.97,few clouds
Yangambi,CD,0.8102,24.4336,87.69,48,100,3.31,overcast clouds
Wanning,CN,18.8003,110.3967,83.5,90,100,10.36,overcast clouds
Pecos,US,31.4229,-103.4932,65.23,77,1,0.0,clear sky
Oktyabrskoye,RU,43.0645,44.7417,82.54,45,75,4.38,broken clouds
Olden,NO,61.8364,6.8064,80.17,28,47,2.28,scattered clouds
Abrau-Dyurso,RU,44.69,37.59,65.66,80,97,6.51,overcast clouds
Bismarck,US,46.8083,-100.7837,64.81,59,90,1.99,overcast clouds
Stara Vyzhivka,UA,51.4376,24.44,61.52,47,80,5.64,broken clouds
Tarquinia,IT,42.2482,11.7553,79.65,51,6,10.4,clear sky
Bull Savanna,JM,17.8868,-77.5902,80.37,61,1,4.5,clear sky
Morant Bay,JM,17.8815,-76.4093,85.62,65,6,8.39,light rain
Kirgiz-Miyaki,RU,53.6324,54.7979,69.35,75,100,3.15,overcast clouds
Beloha,MG,-25.1667,45.05,68.52,73,100,14.45,overcast clouds
Tocopilla,CL,-22.092,-70.1979,68.9,62,64,4.81,broken clouds
Kisangani,CD,0.5167,25.2,74.12,92,100,0.36,overcast clouds
Vaasa,FI,63.096,21.6158,71.29,37,0,14.97,clear sky
Solhan,TR,38.9634,41.0293,79.2,29,0,21.21,clear sky
Eyl,SO,7.9803,49.8164,83.55,66,54,23.44,broken clouds
Padang,ID,-0.9492,100.3543,78.85,84,56,2.66,broken clouds
Krasnoarmeysk,RU,51.0239,45.6969,68.52,61,99,10.98,overcast clouds
Asau,RO,46.4333,26.4,54.75,93,100,4.32,light rain
Whitehorse,CA,60.7161,-135.0538,50.02,76,64,10.0,broken clouds
Flinders,AU,-34.5833,150.8552,56.05,75,100,1.01,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,63.32,63,40,12.66,scattered clouds
Nanortalik,GL,60.1432,-45.2371,41.83,74,88,7.65,overcast clouds
Agadir,MA,30.4202,-9.5982,79.25,51,6,9.8,clear sky
Petatlan,MX,17.5167,-101.2667,80.4,68,96,0.85,overcast clouds
Sorong,ID,-0.8833,131.25,78.89,88,86,5.79,overcast clouds
Cururupu,BR,-1.8283,-44.8683,87.67,57,1,4.97,clear sky
Raudeberg,NO,61.9875,5.1352,73.0,63,11,4.18,few clouds
Bay Roberts,CA,47.5999,-53.2648,71.35,98,100,18.16,light rain
Anadyr,RU,64.75,177.4833,30.7,68,0,1.72,clear sky
Luau,AO,-10.7073,22.2247,84.38,20,87,2.26,overcast clouds
Tomohon,ID,1.3346,124.8392,68.94,93,94,2.91,overcast clouds
Viedma,AR,-40.8135,-62.9967,61.48,57,100,20.56,overcast clouds
Oksfjord,NO,70.2396,22.3479,60.87,83,95,4.72,overcast clouds
Rhyl,GB,53.3196,-3.4886,78.12,57,93,10.8,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,60.37,59,100,3.56,overcast clouds
Lucapa,AO,-8.4192,20.7447,87.91,16,80,2.37,broken clouds
Half Moon Bay,US,37.4636,-122.4286,63.75,87,90,11.5,fog
Hambantota,LK,6.1241,81.1185,81.84,75,76,18.86,broken clouds
Tuatapere,NZ,-46.1333,167.6833,49.82,87,99,5.59,overcast clouds
Auki,SB,-8.7676,160.7034,77.94,89,100,3.02,overcast clouds
Traverse City,US,44.7631,-85.6206,65.14,55,1,4.61,clear sky
Takoradi,GH,4.8845,-1.7554,84.72,66,99,10.6,overcast clouds
Yulara,AU,-25.2406,130.9889,62.44,55,75,9.22,broken clouds
Neryungri,RU,56.6709,124.6491,53.53,63,82,3.56,broken clouds
Namtsy,RU,62.7161,129.6658,50.11,77,11,3.98,few clouds
Jinji,CN,23.2281,110.8261,78.12,97,99,3.47,overcast clouds
Ahipara,NZ,-35.1667,173.1667,56.25,82,27,5.19,scattered clouds
